location,latitude,longitude,precipitation_mean,mean_vapor_pressure_deficit_mean,minimum_near_surface_relative_humidity_mean,maximum_near_surface_relative_humidity_mean,surface_downwelling_solar_radiation_mean,minimum_near_surface_air_temperature_mean,maximum_near_surface_air_temperature_mean,wind_speed_at_10m_mean,wind_direcation_at_10m_mean,palmer_drought_severity_index_x_mean,palmer_drought_severity_index_y_mean,reference_grass_evapotranspiration_mean,reference_alfaalfa_evapotranspiration_mean,dead_fuel_moisture_100hour_mean,dead_fuel_moisture_1000hour_mean,NA,NA,NA
1,46.283706,-118.674581,Non-virgin,Columbia Basin,2021,0.838956171,0.947453864,40.64074394,82.69933679,178.5413495,278.5942618,291.1919839,3.183650519,195.5060554,3.874639769,-1.357017291,3.229584775,4.425346021,14.75841984,16.15778547
2,46.281286,-118.684761,Virgin,Columbia Basin,2021,0.838956171,0.947453864,40.64074394,82.69933679,178.5413495,278.5942618,291.1919839,3.183650519,195.5060554,3.874639769,-1.357017291,3.229584775,4.425346021,14.75841984,16.15778547
4,47.084598,-119.808285,Non-virgin,Columbia Basin,2021,0.470155709,0.911577278,38.50792964,83.32811419,185.5344579,277.2290369,290.3762976,3.215196078,201.7234717,4.240634006,-0.935634006,3.257727797,4.479181084,14.36574394,15.21522491
5,47.076717,-119.802953,Virgin,Columbia Basin,2021,0.470155709,0.911577278,38.50792964,83.32811419,185.5344579,277.2290369,290.3762976,3.215196078,201.7234717,4.240634006,-0.935634006,3.257727797,4.479181084,14.36574394,15.21522491
6,47.045431,-119.609527,Virgin,Columbia Basin,2021,0.432151096,0.856594579,39.34743368,87.49754902,184.4314879,276.3819781,290.3076701,3.385265283,200.0219146,4.5,-0.587925072,3.208217993,4.413985006,15.25158593,16.03411188
7,47.039913,-119.604025,Non-virgin,Columbia Basin,2021,0.432151096,0.856594579,39.34743368,87.49754902,184.4314879,276.3819781,290.3076701,3.385265283,200.0219146,4.5,-0.587925072,3.208217993,4.413985006,15.25158593,16.03411188
8,48.4382,-122.4225,Virgin,Skagit Valley,2021,2.195472895,0.42055075,55.6055075,95.53203576,144.6071799,279.5619089,288.8192042,2.999423299,178.2194348,4.145533141,-0.992089337,2.133679354,2.689590542,19.21802191,22.7483564
9,48.4326,-122.3791,Non-virgin,Skagit Valley,2021,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
10,45.69724886,-119.3547182,Virgin,Columbia Basin,2021,0.612226067,0.972808535,39.40461361,84.86854095,182.4497982,278.197203,291.9784314,3.178402537,198.5498847,3.719020173,-1.570158501,3.32517301,4.574394464,14.92378893,16.0055075
11,45.67176481,-119.346965,Virgin,Columbia Basin,2021,0.612226067,0.972808535,39.40461361,84.86854095,182.4497982,278.197203,291.9784314,3.178402537,198.5498847,3.719020173,-1.570158501,3.32517301,4.574394464,14.92378893,16.0055075
12,45.6655718,-119.3518295,Virgin,Columbia Basin,2021,0.632785467,0.961689735,39.12387543,84.69535755,181.6927336,278.0190311,291.781113,3.286591696,198.5498847,3.403458213,-1.913976945,3.329700115,4.592329873,14.84867359,15.96113033
13,45.65722227,-119.346829,Virgin,Columbia Basin,2021,0.632785467,0.961689735,39.12387543,84.69535755,181.6927336,278.0190311,291.781113,3.286591696,198.5498847,3.403458213,-1.913976945,3.329700115,4.592329873,14.84867359,15.96113033
14,45.679267,-119.346864,Non-virgin,Columbia Basin,2021,0.612226067,0.972808535,39.40461361,84.86854095,182.4497982,278.197203,291.9784314,3.178402537,198.5498847,3.719020173,-1.570158501,3.32517301,4.574394464,14.92378893,16.0055075
15,45.749823,-119.1507605,Non-virgin,Columbia Basin,2021,0.720213379,1.002756632,38.19198385,82.20141292,181.0748558,278.3504614,292.0212226,3.034659746,199.13812,3.436599424,-1.89684438,3.319002307,4.562687428,14.33094002,15.57433679
16,45.7378632,-119.1228807,Non-virgin,Columbia Basin,2021,0.720213379,1.002756632,38.19198385,82.20141292,181.0748558,278.3504614,292.0212226,3.034659746,199.13812,3.436599424,-1.89684438,3.319002307,4.562687428,14.33094002,15.57433679
17,45.7392845,-119.1337755,Non-virgin,Columbia Basin,2021,0.720213379,1.002756632,38.19198385,82.20141292,181.0748558,278.3504614,292.0212226,3.034659746,199.13812,3.436599424,-1.89684438,3.319002307,4.562687428,14.33094002,15.57433679
18,48.20852,-122.33752,Virgin,Skagit Valley,2021,2.419867359,0.412275087,57.31104383,95.53670704,145.4984141,279.4760381,288.9915513,2.54083045,189.149654,4.476945245,-0.635979827,2.062716263,2.531430219,19.64760669,23.51361015
19,48.33374,-122.3423,Non-virgin,Skagit Valley,2021,2.444809689,0.416600346,55.56946367,96.31268743,145.6519608,279.3002595,288.9110438,2.756026528,184.5942907,4.827089337,-0.133472622,2.095357555,2.602595156,19.59307958,23.45507497
20,48.439919,-122.393783,Virgin,Skagit Valley,2021,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
21,48.40048,-122.409583,Non-virgin,Skagit Valley,2021,2.327912341,0.414976932,55.75121107,95.84824106,145.9649077,279.3923299,288.7589965,2.906170704,178.2194348,4.930835735,-0.109654179,2.1205594,2.656805075,19.38569781,23.02860438
22,48.387201,-122.489909,Virgin,Skagit Valley,2021,2.025519031,0.436952134,55.08826413,95.44351211,145.5636101,279.669579,288.9331315,2.930594002,178.2194348,3.95389049,-1.228126801,2.158419839,2.723529412,19.04772203,22.41000577
23,48.382227,-122.494621,Non-virgin,Skagit Valley,2021,2.025519031,0.436952134,55.08826413,95.44351211,145.5636101,279.669579,288.9331315,2.930594002,178.2194348,3.95389049,-1.228126801,2.158419839,2.723529412,19.04772203,22.41000577
24,47.092944,-119.688722,Virgin,Columbia Basin,2022,0.47050173,0.879512687,39.18933103,85.82701845,185.1599769,276.8143887,290.295271,3.100663206,201.6372549,4.681556196,-0.404121037,3.164763552,4.317618224,14.94584775,15.78630334
25,47.099982,-119.677853,Non-virgin,Columbia Basin,2022,0.47050173,0.879512687,39.18933103,85.82701845,185.1599769,276.8143887,290.295271,3.100663206,201.6372549,4.681556196,-0.404121037,3.164763552,4.317618224,14.94584775,15.78630334
26,47.09682,-119.68236,Native,Columbia Basin,2022,0.47050173,0.879512687,39.18933103,85.82701845,185.1599769,276.8143887,290.295271,3.100663206,201.6372549,4.681556196,-0.404121037,3.164763552,4.317618224,14.94584775,15.78630334
27,47.0995549,-119.6989048,Virgin,Columbia Basin,2022,0.47050173,0.879512687,39.18933103,85.82701845,185.1599769,276.8143887,290.295271,3.100663206,201.6372549,4.681556196,-0.404121037,3.164763552,4.317618224,14.94584775,15.78630334
28,47.0999557,-119.6889465,Non-virgin,Columbia Basin,2022,0.47050173,0.879512687,39.18933103,85.82701845,185.1599769,276.8143887,290.295271,3.100663206,201.6372549,4.681556196,-0.404121037,3.164763552,4.317618224,14.94584775,15.78630334
29,47.10262,-119.7052,Native,Columbia Basin,2022,0.475346021,0.892554787,38.9049308,84.85190311,185.2959919,277.0043829,290.3348328,3.09094579,201.6372549,4.599423631,-0.480461095,3.185611303,4.352133795,14.70677624,15.55588235
30,47.077016,-119.797965,Virgin,Columbia Basin,2022,0.470155709,0.911577278,38.50792964,83.32811419,185.5344579,277.2290369,290.3762976,3.215196078,201.7234717,4.240634006,-0.935634006,3.257727797,4.479181084,14.36574394,15.21522491
31,47.084431,-119.797696,Non-virgin,columbia Basin,2022,0.470155709,0.911577278,38.50792964,83.32811419,185.5344579,277.2290369,290.3762976,3.215196078,201.7234717,4.240634006,-0.935634006,3.257727797,4.479181084,14.36574394,15.21522491
32,47.10274,-119.7263,Native,columbia Basin,2022,0.475346021,0.892554787,38.9049308,84.85190311,185.2959919,277.0043829,290.3348328,3.09094579,201.6372549,4.599423631,-0.480461095,3.185611303,4.352133795,14.70677624,15.55588235
33,46.074888,-119.35551,Virgin,Columbia Basin,2022,0.607814302,0.923569781,40.66078431,80.80986159,187.7598328,278.7658881,290.3423299,3.116407151,192.8373702,3.432276657,-1.881685879,3.204209919,4.33872549,14.26770473,15.3254902
34,46.074778,-119.344942,Non-virgin,Columbia Basin,2022,0.607814302,0.923569781,40.66078431,80.80986159,187.7598328,278.7658881,290.3423299,3.116407151,192.8373702,3.432276657,-1.881685879,3.204209919,4.33872549,14.26770473,15.3254902
35,46.079285,-119.35545,Native,Columbia Basin,2022,0.607814302,0.923569781,40.66078431,80.80986159,187.7598328,278.7658881,290.3423299,3.116407151,192.8373702,3.432276657,-1.881685879,3.204209919,4.33872549,14.26770473,15.3254902
36,45.8312475,-119.18859,Virgin,Columbia Basin,2022,0.651009227,0.994250288,38.9099481,81.85810265,183.1166667,278.6404268,291.8619954,2.993483276,194.6519608,3.713256484,-1.528112392,3.315628604,4.548442907,14.29368512,15.4356113
37,45.800426,-119.212764,Non-virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
38,45.80168,-119.21475,Native,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
39,45.8311059,-119.19936,Virgin,Columbia Basin,2022,0.651009227,0.994250288,38.9099481,81.85810265,183.1166667,278.6404268,291.8619954,2.993483276,194.6519608,3.713256484,-1.528112392,3.315628604,4.548442907,14.29368512,15.4356113
40,45.796811,-119.212707,Non-virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
41,45.79866,-119.21403,Native,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
42,45.8235256,-119.16699,Virgin,Columbia Basin,2022,0.651009227,0.994250288,38.9099481,81.85810265,183.1166667,278.6404268,291.8619954,2.993483276,194.6519608,3.713256484,-1.528112392,3.315628604,4.548442907,14.29368512,15.4356113
43,45.803208,-119.208403,Non-virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
44,45.85578,-119.15654,Native,Columbia Basin,2022,0.635005767,0.992148212,39.23884083,80.94359862,183.8596309,278.9464245,291.7633795,3.003633218,194.6519608,3.707492795,-1.569740634,3.319002307,4.547260669,14.15841984,15.28442907
45,45.740838,-119.052273,Virgin,Columbia Basin,2022,0.756430219,0.995118224,38.41531142,81.10224913,180.6190888,278.325173,291.7264706,3.004584775,200.8976355,3.368876081,-1.92554755,3.285870819,4.507525952,14.18592849,15.48044983
46,45.759103,-119.157996,Non-virgin,Columbia Basin,2022,0.68843714,1.00239331,38.28140138,82.20423875,182.1202422,278.4288351,292.0428201,3.003143022,194.6519608,3.631123919,-1.666354467,3.32739331,4.571799308,14.29256055,15.49048443
47,45.75048,-119.07144,Native,Columbia Basin,2022,0.756430219,0.995118224,38.41531142,81.10224913,180.6190888,278.325173,291.7264706,3.004584775,200.8976355,3.368876081,-1.92554755,3.285870819,4.507525952,14.18592849,15.48044983
48,45.740797,-119.042748,Virgin,Columbia Basin,2022,0.756430219,0.995118224,38.41531142,81.10224913,180.6190888,278.325173,291.7264706,3.004584775,200.8976355,3.368876081,-1.92554755,3.285870819,4.507525952,14.18592849,15.48044983
49,45.768345,-119.148897,Non-virgin,Columbia Basin,2022,0.68843714,1.00239331,38.28140138,82.20423875,182.1202422,278.4288351,292.0428201,3.003143022,194.6519608,3.631123919,-1.666354467,3.32739331,4.571799308,14.29256055,15.49048443
50,45.74945,-119.05993,Native,Columbia Basin,2022,0.756430219,0.995118224,38.41531142,81.10224913,180.6190888,278.325173,291.7264706,3.004584775,200.8976355,3.368876081,-1.92554755,3.285870819,4.507525952,14.18592849,15.48044983
51,46.485758,-119.18886,Virgin,Columbia Basin,2022,0.606084198,0.949426182,38.60919839,82.7339677,185.8053057,277.8832757,291.010323,3.014619377,198.3564014,4.161383285,-1.073645533,3.239965398,4.429901961,14.33670704,15.37119377
52,46.465608,-119.199148,Non-virgin,Columbia Basin,2022,0.606084198,0.949426182,38.60919839,82.7339677,185.8053057,277.8832757,291.010323,3.014619377,198.3564014,4.161383285,-1.073645533,3.239965398,4.429901961,14.33670704,15.37119377
53,46.483504,-119.194702,Native,Columbia Basin,2022,0.606084198,0.949426182,38.60919839,82.7339677,185.8053057,277.8832757,291.010323,3.014619377,198.3564014,4.161383285,-1.073645533,3.239965398,4.429901961,14.33670704,15.37119377
54,46.892999,-118.839872,Virgin,Columbia Basin,2022,0.657093426,0.888884083,40.22892157,82.93800461,182.8754902,277.3124279,289.9864475,2.899538639,188.9890427,5.048991354,0.078746398,3.061014994,4.149625144,14.62139562,15.76730104
55,46.938088,-118.870733,Non-virgin,Columbia Basin,2022,0.648760092,0.897918108,39.72465398,83.05692042,182.9840254,277.255767,290.1230104,2.84561707,188.9890427,4.981268012,0.016181556,3.070357555,4.165657439,14.58186275,15.70273933
56,46.942174,-118.839316,Native,Columbia Basin,2022,0.648760092,0.897918108,39.72465398,83.05692042,182.9840254,277.255767,290.1230104,2.84561707,188.9890427,4.981268012,0.016181556,3.070357555,4.165657439,14.58186275,15.70273933
57,48.86816,-122.30595,Virgin,Skagit Valley,2022,2.842560554,0.468376586,54.6839677,92.02122261,146.0279988,278.9299596,288.6621972,2.669867359,159.928489,3.88184438,-1.375864553,2.1338812,2.687110727,18.83278547,22.98131488
58,48.88233,-122.30744,Non-virgin,Skagit Valley,2022,3.021799308,0.483912918,54.13336217,91.75697809,145.9244233,278.9849481,288.7044694,2.481055363,163.2730681,4.139769452,-1.11832853,2.119348328,2.656920415,18.77854671,23.03823529
59,48.38136,-122.43081,Native,Skagit Valley,2022,2.215340254,0.426141869,55.40446943,95.65297001,145.104729,279.4956171,288.8244521,2.908506344,178.2194348,4.654178674,-0.418674352,2.132324106,2.682727797,19.23497693,22.78324683
60,48.433626,-122.468339,Virgin,Skagit Valley,2022,1.978950404,0.430914072,55.28365052,95.32900807,145.1731546,279.7212514,288.8955882,3.013696655,178.2194348,3.355907781,-1.847824207,2.160813149,2.733044983,18.9844579,22.27566321
61,48.433726,-122.461892,Non-virgin,Skagit Valley,2022,1.978950404,0.430914072,55.28365052,95.32900807,145.1731546,279.7212514,288.8955882,3.013696655,178.2194348,3.355907781,-1.847824207,2.160813149,2.733044983,18.9844579,22.27566321
62,48.41043,-122.43212,Native,Skagit Valley,2022,2.215340254,0.426141869,55.40446943,95.65297001,145.104729,279.4956171,288.8244521,2.908506344,178.2194348,4.654178674,-0.418674352,2.132324106,2.682727797,19.23497693,22.78324683
63,48.4406,-122.42581,Virgin,Skagit Valley,2022,2.195472895,0.42055075,55.6055075,95.53203576,144.6071799,279.5619089,288.8192042,2.999423299,178.2194348,4.145533141,-0.992089337,2.133679354,2.689590542,19.21802191,22.7483564
64,48.39057,-122.40034,Non-virgin,Skagit Valley,2022,2.327912341,0.414976932,55.75121107,95.84824106,145.9649077,279.3923299,288.7589965,2.906170704,178.2194348,4.930835735,-0.109654179,2.1205594,2.656805075,19.38569781,23.02860438
65,48.41126,-122.44285,Native,Skagit Valley,2022,2.215340254,0.426141869,55.40446943,95.65297001,145.104729,279.4956171,288.8244521,2.908506344,178.2194348,4.654178674,-0.418674352,2.132324106,2.682727797,19.23497693,22.78324683
66,48.43447,-122.40171,Virgin,Skagit Valley,2022,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
67,48.43362,-122.39791,Non-virgin,Skagit Valley,2022,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
68,48.42603,-122.40588,Native,Skagit Valley,2022,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
69,48.53241,-122.41016,Virgin,Skagit Valley,2022,2.672808535,0.405709343,57.05147059,95.28183391,145.9858131,279.5957901,288.6397347,3.37061707,167.7834487,5.560518732,0.632204611,2.165916955,2.759313725,19.54795271,23.51724337
70,48.539874,-122.405966,Non-virgin,Skagit Valley,2022,2.672808535,0.405709343,57.05147059,95.28183391,145.9858131,279.5957901,288.6397347,3.37061707,167.7834487,5.560518732,0.632204611,2.165916955,2.759313725,19.54795271,23.51724337
71,48.4294,-122.39366,Native,Skagit Valley,2022,2.27716263,0.410862168,56.01565744,95.76681084,146.008737,279.4182238,288.7267878,2.991493656,178.2194348,4.570605187,-0.533198847,2.123961938,2.666926182,19.37825836,22.99472318
72,45.8237788,-119.17756,Virgin,Columbia Basin,2022,0.651009227,0.994250288,38.9099481,81.85810265,183.1166667,278.6404268,291.8619954,2.993483276,194.6519608,3.713256484,-1.528112392,3.315628604,4.548442907,14.29368512,15.4356113
73,45.801239,-119.206495,Non-virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
74,45.80947,-119.23083,Virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
75,45.803999,-119.21277,Non-virgin,Columbia Basin,2022,0.641608997,0.996539792,38.72344291,82.49870242,183.316782,278.5199539,291.9330161,3.012053057,194.6519608,3.729106628,-1.501657061,3.327652826,4.567791234,14.40063437,15.52425029
76,45.741728,-119.027981,Virgin,Columbia Basin,2022,0.778489043,0.991058247,38.56173587,80.35366205,180.0550173,278.3901384,291.569233,3.00005767,200.8976355,3.386167147,-1.918544669,3.266753172,4.479238754,14.09628028,15.42151096
77,45.767101,-119.114775,Non-virgin,Columbia Basin,2022,0.702133795,0.991929066,38.58292964,82.07589389,182.0348904,278.3502884,291.8869377,2.983765859,195.7468281,3.63832853,-1.636354467,3.300749712,4.525605536,14.30470012,15.5328143
